DOC_ID	LABEL	RATING	VERIFIED_PURCHASE	PRODUCT_CATEGORY	PRODUCT_ID	PRODUCT_TITLE	REVIEW_TITLE	REVIEW_TEXT
139	__label1__	1	N	Books	1489559698	It Starts With Food CookBook: The Low Sugar Gluten-Free & Whole Food CookBook - 40 Delicious & Healthy Recipes Your Family Will Love	Go with the original	Customers are advised to go with the original resource instead since this is not only a rip-off, it is also quite the opposite of what it is supposed to be doing for readers. Seriously, you will only gain weight and be unhealthy when you go with this.
140	__label1__	4	Y	Shoes	B00HK9EJDS	New High Quality Fashion Women Cute Mini Coin Bag Wallet Hand Pouch Purse	Helpful!!	This is so cute! I have to buy this since my earphones are always getting tied up. I'm so happy that I have this little purse! Great purchase.
141	__label1__	3	Y	Health & Personal Care	B00H7M3XWQ	VITA RESTORE Hair Growth Hair Loss Prevention Treatment Supplement with Biotin Plus Essential Vitamins for Maximum Hair Growth - Start Growing ALL The Hair You Have Lost! All New Formula with 100% Natural DHT Blocking Ingredients That Works For Both Men and Women	One of my best cures!	I'm a 35 years old mom and I've experienced a really bad hair fall. I have tried Rogaine Foam, Nizoral shampoo and S5 cream, these are top products for hair fall and thinning as well as baldness and they're really effective but has some side effects like dandruff and flaking. However, when I tried VITA RESTORE it maxed out these products. My hair thickened and shines. I've also grown hair for about 2 inches in length which is really great. The dandruff that my previous cream causes now disappeared. And my nails look healthier and growing fast... This is truly one of the best remedies I tried. It's cheaper too!
142	__label1__	1	Y	Apparel	B00835QQ3Y	Solid Color Military Canvas Web Belt One Size Fits All - Black	Watch what you order	Ordered a 50&#34; belt and was sent a 40&#34;.<br />Wasn't worth it to ship back. Ill use it for a Christmas present.<br />Would not buy again
143	__label1__	4	Y	Kitchen	B00RU2FTUW	BEST Silicone Pasta Fork by Chef Frog - For Home or Professional Use - Features our “Stay-Cool” Stainless Steel Handle	pasta party fork.	awesome product. I love it its great for my pasta which I love making. we have many family get togethers. and we now have this item to  share. Its not only great for pasta but, I also used for my potato salad and pasta salad. were going to have party at the park this weekend and will be bring to show everyone. its very sturdy and very well made. it also has a great color so I know its mine easy to spot and not lose it.
144	__label1__	4	N	Kitchen	B00F9GFMY4	MIRA Set of 3 Stainless Steel lunch box and food storage containers, Multi Color	A little blasé but	It will do the job. I do wish that it looked a little more stylish though, but many of the ones that fit that profiles ended up being useless lumps of plastic or steel.
145	__label1__	2	N	Electronics	B0007N55NM	Sony MDR-XD100 Stereo Headphones (Discontinued by Manufacturer)	Didn't meet up to my expectations	I bought these things after reading allot of good reviews. But sadly these didn't meet up to my expectations. The bass is very lacking and the sound is pretty low quality. I am glad I bought them thought to get a personal experience of them, although they are stylish and fold nice that's pretty much all there is good to say about these. So I returned them before the return policy ran out, and moved to another Brand. After trying a few models Skull candy makes, I decided they were not for me.
146	__label1__	1	N	Books	0812995228	Among the Ten Thousand Things: A Novel	The Age of Dead Imagination	I will write a short, shorter novel too it is called, &#34;Review&#34; subtitle &#34;Analysis of a Printed Book&#34; it is dark to see my name on a critique it never ends well my name is Forever Days ratings and solitary gold star.  Dad messes up again and again and again over and over in every second novel printed or what I call - The Age of Dead Imagination and the authors who embrace this repetitively maddening genre.  I never, in my very many one-star, revolutionary reviews conferred on an author a compliment because I am beholding to the great intricacies of the high above expanse the title is impossibly beautiful and one must read it in slow motion to absorb its weight that done, I'm so fast-forward out.  Christopher Roberts
147	__label1__	1	N	PC	B004SUIM4E	Microsoft Natural Ergonomic Keyboard 4000 for Business - Wired	Not worth it	The spacebar is poorly designed and hard to depress.  Also, went through 3 of these within about a month, not sure what it is but the quality on these just isn't any good.
148	__label1__	3	Y	Home Improvement	B00MZSEFYW	Gotideal Carbon Monoxide Detector and Carbon Monoxide Alarm with Digital LED Display,Best CO Detector and CO Alarm Battery Operated - Color White	I don't like the design	Functions well so far, but its appearance does not seem to quite fit my home decor. Needs a better design.
149	__label1__	3	N	Home	B008YQ4Z2Q	Gifts & Decor Shabby Elegance Scrollwork Candleholder Chic Decor	Not Very Sturdy	The lamp is as described/shown, but assembly is ridiculous - you have to put together the glass strains (not just attach them to base!). The metal rings connecting the pieces are very soft, so the entire end product is not very sturdy.
150	__label1__	1	N	Health & Personal Care	B001QW9B5Q	Herbalife Formula 1 Shake Mix - French Vanilla (750g)	DOES NOT WORK, PLEASE DON'T WASTE YOUR MONEY!!!!	I purchased Herbalife a few months ago at my local health retailer and had high hopes for this with the numerous good reviews I read. Although, after using it for 6 weeks fairly regularly, I was very disappointed.<br /><br />Normally people keep eating unhealthy or don't stay active during the use of these kinds of products, but I didn't do that at all. I honestly didn't lose more than 2 pounds at any time during the use of this product. It was hard to comprehend that even after that much regular use, I wasn't losing weight.<br /><br />After realizing this, I decided to try something new. After consulting with friends and family, I went with a product that has been nothing short of AMAZING. I have lost 23 pounds in the last 7 weeks and I have never felt better. This is only the start! I get emotional typing this because I struggled for so long to find something that worked for me.<br /><br />If you want to actually lose weight, take a look at this item here on Amazon and give it a chance ---------&#62; http://amzn.to/1jSaoQQ<br /><br />Even if you decide it's not the product for you, I'm at least glad I could share my experience about this product and how it did not work for me. I am walking proof that there is SOMETHING out there that works!
151	__label1__	4	N	Electronics	B008DS0XYE	Beats Solo HD On-Ear Headphone (White) (Discontinued by Manufacturer)	Paying for name	These are good headphones but you are paying more for the name on the side.  I actually tend to use ear buds more than these.  So quality wise they are good but can find better or same quality for less money.
152	__label1__	4	Y	Beauty	B00EP49AX0	Perfect Brows (TM) Botanical Primer and Care Balm with Mini-Brush O.6 oz/18 ml	My eyebrows are finally starting to grow back	Yes, the effect is slow. However, that should prove that It's actually working. This helps to promote the regrowth of hair; new hair follicles don't grow overnight.  I have been unable to grow back my eyebrows after an accident a few years ago. I purchased this balm, and It's like a miracle for me. My eyebrows are finally starting to grow back, evenly and nicely. If you want a fast acting balm that doesn't have the real effect, don't buy this. If you want something that will take some time but bring long term results, this is the best balm on the market.
153	__label1__	4	N	Books	140006788X	Night Film: A Novel	Good one!	I liked her first book: Special Topics in Calamity Physics and became a fan if Pessl right there.<br /><br />This is an addictive novel. Make sure to give yourself a few hours to read it.<br /><br />Great read!
154	__label1__	1	N	Books	1250051681	The Last Flight of Poxl West: A Novel	Metal Rain	Metal Rain. Flak riddled wings whirl wild, lethal - hurtling into gravity's domain, bomber mirages, streaming fuel, soaking tree trunks and forest floor. Fires burn death, prepare soil for future live days.  Chris Roberts, God
155	__label1__	2	N	Home	B002ZDJYC0	Sunpentown SD-65E 65-Pint Dehumidifier	It's so loud	It's so loud - it's in my basement and I can hear it on the 2nd floor! FYI I bought a air conditioner almost two years ago, it didn't last thru the 2nd year. I'm beginning to believe this company sells junk. Staying away from their products from now on.
156	__label1__	2	N	Sports	B000UEP0NI	FitDeck Bodyweight	Full and Complete Review of Fit Deck Bodyweight	I am a collector of fitness products, there are three exercise cards on the market (Workout Labs, Strength Stack 52 and Fit Deck) and I will post a brief review of all three here. Just a bit about myself, I am 5 foot 10 somewhat athletic and would consider myself a little above average in terms of my fitness level.<br />Fit Deck<br />Fit Deck has been around for a few years now. I would place them second behind Strength Stack 52 in terms of the quality of workout you can get with these. They have a ton of different decks like bodyweight and basketball and even tai chi, to be fair, I only purchased the bodyweight cards though. Like Workout Labs the exercises were still very basic and lacked the neat gaming component that Strength Stack provides. The owner is a former navy seal (from many years ago), which helps the product, but if you look at him, he has very little muscle tone, which gets me a bit weary.<br />About $16/deck, not very happy with these since they lack any benefit for someone of intermediate or advanced fitness level. If you are a beginner and have no knowledge of working out, you can get these cards, but again, no reason to buy them if Strength Stacks are in stock.<br />Strength Stack 52<br />In my opinion the best of the three workout card companies. From the design to the game play, these cards have some really neat features. Every card has a QR code. The code can be scanned with any Smartphone and a video of the exercise on the card will show me how to do the exercise. Each card is numbered and suited and even color coded by body type. The website has some cool games you can play with the cards, but my buddy and I made up a few of our own. The inventor of the cards, Sergeant Volkin is a military fitness expert and you can tell by looking at him.<br />The best feature of these cards is the exercises themselves. Both Fit Deck and Workout Labs have very basic exercises, Strength Stack has exercises that are dynamic and fun, some of which I have neverseen before.<br />About $16/deck, really great deal, these are the cards I still use months after my purchase.<br />Workout Labs<br />This is the worst of the three exercise cards available. The creator of the cards has no muscle tone, no background in fitness or extraordinary fitness level (to my knowledge) , these cards are purely a marketing play as the owner outright claims he is a designer only. The cards are very, very basic, appealing only to beginners. When I got my cards in the mail, I noticed they were of good quality and waterproof in case you drip sweat on them. But, I have yet to sweat using these cards.<br />PLEASE NOTE: The reviews on this product are fake. I have clicked on almost all of the 5 star reviews and everyone one of them have only reviewed this product. You can even tell they are fake by the way they are written, a bit too perfect. That got me wary of purchasing the cards in the first place, but I still did.<br />The cards are divided into a male and female deck, which is  odd since fitness is unisex. There was nothing to do when I got the cards besides flip a card and look at the illustrations. Given the fact that they were $25 for a single deck of cards, I was hoping for much, much more as there are only 40 basic exercises in the deck. All in all, very disappointed with these.<br /><br />I hope this review helped, I was not paid in any way to review any of these companies.
157	__label1__	4	N	Home	B004XWD6EI	Nearly Natural 6608 Bougainvillea Hanging Basket Decorative Silk Plant, Beauty	Flowers Look Realistic	They are a little light in weight, so they spin a bit. The flowers look realistic. My neighbors likes it, they are worth the price.
158	__label1__	4	N	Apparel	B003RRWZTW	Columbia Women's Plus-Size Benton Springs Full Zip Plus, Columbia Navy, 1X	fit is really nice	The fit is really nice, the material is great, and the price is good. I was skeptical buying a coat like this online, but I was not disappointed. I had been unable to find a full length ladies coat in this area of the country. When I saw this one I thought I'd give it a try. I'm glad I did.
159	__label1__	4	N	Kitchen	B0033Z4H94	Party Cups Mugs Compatible with Original Magic Bullet Juicer (Set of 4) (Not for Nutribullet)	Pretty good actually	My sister bought this for all of use to share and it's pretty handy. Now my brother won't have an excuse to drink my juice since he can't pretend to not know that it's mine.
160	__label1__	4	N	Health & Personal Care	B00J42CVFC	Extreme Flex- Joint Supplement with Glucosamine, Chondroitin Methylesulfate and Perluxan - 30 Day Supply	Extreme Flex has been a life saver!	I do a lot of running, and have recently began having some minor joint discomfort in my left knee and hip as a result of training for a marathon. After speaking with my Dr about the pain, he said that I should look at Glucosamine supplements to see if they could help. So over the past few months I have tried a few other products I found in GNC like Instaflex, and GNC's own Triflex and while I noticed a slight difference with each of them I just continued looking to find something that would help noticeably alleviate the pain. I hate taking aspirin and ibuprofen as they both have a tendency to upset my stomach, and like the fact that it is more natural. My running partner recommended this to me, and what I noticed was that it really helped with the pain. I wouldn't say that the relief came immediately, but over about a week I noticed that the pain in my joints was much less, and my joints began to have just a more &#34;smooth&#34; feeling while running. I don't know how else to describe it, but I just don't get that rough feeling I would usually get after a week of running. It is a bit more expensive than I would like which is why I only gave it 4 stars, but I have to admit it has really helped me out.
161	__label1__	3	N	Furniture	B002C1AWEY	Pyramid Trunk Cocktail Table - Espresso	Hassle to put together	This is the first piece of furniture I've purchased from them that was a hassle to put together. Over half of the holes did NOT line up, so I was drilling new holes.....
162	__label1__	4	N	Wireless	B00NFYHEHA	iPhone 6s Plus Case, Obliq [SkyLine Pro][White]Heavy Duty Tough Sturdy Bumper PC TPU Shock Scratch Resist Kickstand Protective Slim Fit Armor Cover for iPhone 6S (2015) and iPhone 6 (2014)	i like it	I got my first phone case and I can say it is good. The simplicity of the design was good. I can sure my phone is safe. Thanks
163	__label1__	4	N	Grocery	B00014JNI0	YS Organic Bee Farms CERTIFIED ORGANIC RAW HONEY 100% CERTIFIED ORGANIC HONEY Raw, Unprocessed, Unpasteurized - Kosher 32oz	I love honey.	I have been taking honey from when i was a child and always love them till now,I ordered YS organic bee honey which i use every morning.so sweet!
164	__label1__	4	N	Health & Personal Care	B005BF1M10	350Buy Rhinestones 2400 Piece 12 Color Nail Art Nailart Manicure Wheels	lovely Nailart Manicure	i love making nail art I even have various tools but i did try this and it was great, but the thing i like with products like this is that i don't only use these to design my nails, i do also use item this to design my daughters scrap book.<br /><br />it just woks great in nails and i works great in making art
165	__label1__	2	N	Home	B00O2EN4K8	KingLinen® White Down Alternative Comforter Duvet Insert Twin	Good quality for the price	Although it was not as I had thought, I did read the description again, to find it was as advertised - an alternative. Good quality for the price . It's not as fluffy as it looks. I thought it would be very fluffy and soft but I was little disappointed when I received it. But, it is okay for its price.
166	__label1__	4	N	Sports	B0058V7L12	adidas Team Speed Medium Duffel Bag, Cobalt/Black	YES! this one is really nice bag	I love the vibrant color of this bag! The size is as expected ! I'm a fan of adidas products, so this one made may travel so unforgettable! I can put my things in an orderly way because of this really nice bag organizer.
167	__label1__	1	N	Video Games	B00EV00MZ8	Plantronics RIG Stereo Gaming Headset with Mixer for Xbox 360 and PS3 - Retail Packaging - Black	Be careful, READ THIS BEFORE BUYING!!!	I got these to give a new headset a try but I wish I wouldn't have... Within the first week one of the speakers died and the overall sound quality itself was not what I was looking for with this price. The look and feel of them is cool but there is definitely work to be done if these are to be sold for $100.<br /><br />After dealing with these I got myself a good headset that I absolutely love. The sound quality is great and I haven't found a single thing to complain about in over two months of use. I can wear them for hours on end with no issue!<br /><br />If you want a great headset, check out this pair here on Amazon -----------&#62; http://amzn.to/1qp9Fhd<br /><br />I hope I could help others out by sharing my experience with these headsets, you won't regret getting the pair I did!
168	__label1__	4	N	Health & Personal Care	B00068UC04	Stinging Nettle Root 500 mg 100 Caps	Helped my pup out w allergies.	I got this because it was highly recommended by a friend for my dog who has allergies. It wasnt by any means a miracle pill, but seemed to help her out with inflamation and itching. She started showing signs of inprovement within just over two weeks. could be seasonal, but sure seemed to help!
169	__label1__	1	N	Books	1616201630	A Life in Men: A Novel	The Wandering, Wondering Mary.	The wandering, wondering Mary...dead friend, she wonders...and wanders...will travel for sex...coupling, sexual intercourse, coitus...next port....lust is stalking the globe...mothers of Europe...lock up your sons...Mary likes to hook up...Henry Miller never had it so good...and when Mary is not on sexual fire...she thinks about her deceased compatriot...that is verbatim the storyline...and this is...The End (of Substance)...feel free to weep.<br /><br />Chris Roberts, God Forever of You
170	__label1__	3	N	Health & Personal Care	B001DJ9X2S	Ridgecrest Anxiety Free Herbal and Nutrition Stress Support, 60 Count	doesnt work	Not sure if I can feel much from this supplement. I will keep taking it until it's gone, but after that I am going back to XanRx. Its an absolute miracle for those with anxiety and panic attacks. Give it a try:<br /><br />[[ASIN:B00F5JJLOC XanRx - Dietary supplement reduces symptoms of anxiety, stress, depression, and panic attacks. Boost your mood and beat your anxiety with Kava kava, 5-htp, Theanine, Gaba, and more. Money Back Guarantee!]]
171	__label1__	4	N	Health & Personal Care	B00644YNCM	SHANY UV Gel Light Nail Dryer, 36 Watts Pro Series	initial reaction is all positive	I bought this as a gift for my sister in law and she loves it. She does the gel nail polish and loves that she can fit all her fingers in at once. Her old dryer only did one finger at a time. I don't know the long term quality but her initial reaction and her use for a couple of weeks is all positive.
172	__label1__	4	Y	Wireless	B00PX5WVN6	Note 4 Armband: Stalion Sports Running & Exercise Gym Sportband for Samsung Galaxy Note 4 & Note Edge (Jet Black) Water Resistant + Sweat Proof + Key Holder + ID / Credit Card / Money Holder	Does Excellent	Genius exercise band! Remains in place and doesn't become cloudy!<br /><br />Only concerning aspect is the flap that contains the phone, if it is not pressed flat enough sweat may get on the phone.
173	__label1__	4	N	Health & Personal Care	B00005KGUB	Cosamin DS Joint Health Supplement, 108 Capsules	Helps Soothe Pain	Overall I have more of the following since using the cosaminDS capsules;<br />flexibility<br />desire to be mobile<br />ability to stand for prolonged periods of time<br /><br />All of which are majorly important in maintaining a healthy lifestyle. For a long time I began to let those things slip away because I was constantly in pain and aching. Adding a natural supplement to nurture my problems has been a huge relief.<br /><br />Even more effective than the cosaminDS by itself has been combining it with higher levels of glucosamine, chondroitin, and cissus powder: [[ASIN:B009ZP5ERA Glucosamine Chondroitin MSM Blend w/ White Willow Bark 750 mg (60 Capsules) + FREE Cissus Joint Powder 100 Grams]]. The blend of those supplements has alleviated all my major aches and complaints as well as made me less stiff after sleep or sitting for prolonged periods of time. I can make it up my front steps without growling in pain.
174	__label1__	4	N	Furniture	B000NPTUGM	Winsome Wood End Table/Night Stand with Door and Shelf, Black	Great for the price	I was surprised at how well packaged these tables were. The quality was great for the price; the color was exactly as advertised. They came all put together, they are nice and well worth the money. They are exactly what I wanted.
175	__label1__	3	Y	Kitchen	B00MJX7PL8	Makimy Premium Silicone Loaf Pan + Bonus 50 Amazing Loaf Recipes - Best Value Bread & Cake Baking Mold on Amazon	The mold is really nice. I tried one of my grandmother recipes and ...	The mold is really nice. I tried one of my grandmother recipes and it come out fabulous. I was a bit worried that it would stick, because the recipe doesn't have oil in it, but I have to say that the silicone pan is great and the loaf didn't stick at all. the size is a bit smaller than a normal loaf pan but its so much more stylish.
176	__label1__	4	Y	Beauty	B00NUIY80C	PEPPERMINT OIL - Huge 4 Oz - 100% Pure & Natural PREMIUM Therapeutic Grade Essential Oil made from Mentha Piperita - Repel Mice, Spiders, Mosquitos, and Other Insects - Great for aromatherapy, fresh smell around the house and multiple household uses - Guaranteed to make you smile or you money back	and it smells great! It isn't overpowering	I received this in record time, and it smells great! It isn't overpowering, like some brands, and the oily feeling isn't slippery or greasy--which is the sign of a really good quality essential oil. I like that it comes with a glass dropper that actually goes to the bottom of the bottle. At the moment I type this, it's making my headache go away.
177	__label1__	4	Y	Health & Personal Care	B00FEP9AFW	garcinia cambogia pure	Garcinia Cambogia	I purchased this product about a month ago and have loved the results. I highly recommend this for anyone interested in suppressing their appetite and losing weight.
178	__label1__	4	N	Home	B0018M8H04	Darice 35745, Knife and Server Set, Faux Crystal	Great	Great for a one time use. This is not something that you would use over and over again. However for 5 dollars you can use it once. It is very high quality and you do not have to worry about buying something expensive that you will never use agian.
179	__label1__	1	N	Health & Personal Care	B00JQWN744	Chummie Elite Bedwetting Alarm for Children and Deep Sleepers – Award Winning Bedwetting Alarm System with Loud Sounds and Strong Vibrations, Green	Junk!	Junk! Only people who like it are probably paid for it. We had 2 weeks of complete frustration. It did not go off when it should, and went off when it shouldn't. The funny noises that &#34;rotate&#34; were a nuisance. We gave up and got something for less than half this things price, and that worked well.
180	__label1__	4	N	Books	0345529383	Deliciously G-Free: Food So Flavorful They'll Never Believe It's Gluten-Free	good choice	This is Elizabeth's second gluten free book.. The first one emphasizes the general info on gluten free living...this second one has more recipes...anyone looking to improve their gluten free choices, this is a good choice.
181	__label1__	3	N	Office Products	B004GXAY9E	Brother MFC-9970CDW Color Laser All-in-One with Wireless Networking and Duplex	it's a good printer for Office use	It is a Multi Function color laser printer, scanner and dual sided printing/scanning. If you do not need this last option there are printers about HALF the size and weight. I'd go for it but my parents sometimes need the dual sided function.<br /><br />Well, it's a good printer for Office use. Do not even think on printing resolution pics on it, it does not output well, specially with other kinds of papers.<br /><br />Be also aware of the &#34;dial&#34; that keeps warning you to change toners when you don't need. Just look on youtube for videos on how to reset the toner counter on the side dial.
182	__label1__	4	N	Kitchen	B006MPPC3C	Circleware Yorkshire 2 gal. Beverage Dispenser	Good jar	This is a great jar, it holds up well and it has no leakage at all. However, ensure to tighten the spout if you plan on filling it up all the way to the top. I got the jar to brew kombucha and so far its serving the purpose just fine.
183	__label1__	3	N	Beauty	B000DN7BUG	Indigo Wild Zum Body Lotion, Rosemary-Mint, 8 Fluid Ounce	smell of the lotion doesn't suite me	It absorbs quickly and completely and leaves skin oh so smooooth but the smell of the lotion doesn't suite me.  I would love it if this also came in a variety pack with nice smell. I also ordered the Bay laurel foot and leg lotion and found it to be just as great. I will be ordering more of this as the weather cools.
184	__label1__	3	Y	Wireless	B00MBU8D42	STALION Sports Armband for Samsung Galaxy S5 SM-G900 (Black) Water Resistant + Sweat Proof + Key Holder [Lifetime Warranty]	No access	It is hard to control the phone through the plastic.<br /><br />I have to get it out to access the app then put it back in..the armband itself however is comfortable and the functions are excellent.
185	__label1__	4	N	Sports	B00FPTFCVI	Swim Culture Unisex Polarized, Reflective Swim Goggles and Tinted Lenses UV Protection with Soft Silicone Head Strap (Black)	It's a great goggles for the price.	It has a good quality considering a cheap price, compared with high end goggles and more expensive ones I found it very good in terms of design and features. I recommend this brand to newbies as well as to professionals. It's a great goggles.
186	__label1__	4	N	Health & Personal Care	B004BHAJAE	Life Extension Skin Restoring Ceramides w/ Lipowheat, 30 liquid capsules	Not bad	I have been using these for about 2 months and they worked pretty well, but not quite what I was expecting. I definitely saw some improvement though. I switched over to Phytoderm, [[ASIN:B00IT4POOG PhytoDermTM- The Best 100% Pure Skin Restoring Anti-Aging Phytoceramides, 350mg! Clinically Proven! Facelift in a Bottle - As seen on Dr. Oz! Help Your Skin Look Younger And More Vibrant - Sells Out Fast!]] and within a few weeks I started to see what I was expecting from a phytoceramide. I am not sure what the difference is, but its worth the extra couple bucks for the 20-30% improvement. Both good products, but the phytoderm is certainly the better of the two.
187	__label1__	4	Y	Health & Personal Care	B00IP0E0JE	Potent Organics Phytoceramides, 40mg Rice Ceramides (Max Strength). 30-Day Supply	The Great Benefits of Phytoceramides	I was told that fabulous benefits are gained from using Phytoceramides products such as Phytoceramides capsules, Phytoceramides for skin and Phytoceramides supplements. This product has helped me in keeping the skin smooth, getting rid of lines and wrinkles, healing damaged skin and improving the firmness of the skin and elasticity. Itchiness and redness has also been reduced after using this product. However, the results were a bit slower than what I expected.
188	__label1__	4	N	Electronics	B004JRYLG4	JVC HAS160B FLATS Lightweight Headband Headphones (Black)	What a great deal!	The headset has worked great in my household. I have left them on my head and realized they were working clear as a bell downstairs when I retrieved something to drink. What clarity they have! Tune them in and you're all set. I've even laid down with them and they don't turn off like others have. All the controls are on the side of the ear piece and don't get in the way of lying on side. What a great deal!
189	__label1__	1	N	Wireless	B00G3JCFNC	iPhone 5S Case, iPhone SE Case, Spigen [Ultra Hybrid] Air Cushioned Bumper Case with Scratch-Resistant Clear Back Panel for iPhone 5S / 5 - Crystal Clear (SGP10640)	Skip this	It wasn't so clear as advertised when I got it and it has gotten worse over time as became brownish color. Scratches everywhere and not pleasant looking after a short time.
190	__label1__	4	N	Furniture	B0002KNLS6	Coaster Jewelry Armoire, Ivory Finish Wood with Hand Painted Roses Floral	Bought for granddaughter for her birthday	We bought this Armoire for our 9 year old granddaughter for her birthday. This is something she should be able to use long into her adulthood. It is very well made and is very roomy. Happy with my purchase since my grand daughter is happy.
191	__label1__	4	Y	Beauty	B00EP49AX0	Perfect Brows (TM) Botanical Primer and Care Balm with Mini-Brush O.6 oz/18 ml	Hoarding this	I swear I'm probably hoarding this balm, the perfect brow does such a fantastic job of making my brows look lush and plump. I can see the individual hairs in my brows growing in thicker and stronger than they had been, even in places where I hadn't seen any hairs growing for a long time.
192	__label1__	4	N	Kitchen	B000GA53CO	All Ware Stainless Steel Pineapple Easy Slicer and De-Corer	Working as it should	This thing makes dealing with a pineapple easy. But i suggest you buy the tall pineapples rather than the short fat ones. The unit is not adjustable, so you leave a lot behind when you do a stubby pineapple.
193	__label1__	4	N	Grocery	B005PN6A4W	Kashi Trail Mix Chewy Granola Bars, 22.1 -Ounce	Very tasty, not too sweet	These are the lowest calorie bar with the highest fiber and protein ever. Plus they are so good that when Harps stopped caring them they sold out. Very tasty, not too sweet. Great for healthy snacking.
194	__label1__	3	N	Home	B00BBR4ARU	Pinzon Heavyweight Flannel Sheet Set - Queen, Thyme Green	Very Soft	These were a bit thin for Wisconsin winters. The sheets are very soft though. If used with thick blanket, they will do.
195	__label1__	2	N	Beauty	B0026IBSVE	Wahl Chrome Pro 24 pc Haircut Kit #79524-2501	not sharp	The one I received was not sharp. Used it on straight hair and it did not cut well. It tugged and pulled at the hair even though the hair was short. I guess I just got a bad one. I sent back.
196	__label1__	4	N	Home	B00A1PQLD4	MALOUF Double Brushed Microfiber Super Soft Luxury Bed Sheet Set - Wrinkle Resistant - Queen Size - White	Very nice sheets	Very nice sheets.Thick and comfortable. I personally hate sheets with synthetics, so these feel good. Only regret is I got burgundy, should have gotten peach.
197	__label1__	4	N	Grocery	B000ER3EFC	Earth's Best Organic Stage 2, Sweet Potatoes, 4 Ounce (Pack of 12)	good product	Ok, no one tell my son this....but, I actually put this baby food (always use organic!) in his muffins. He hasn't even been able to tell that it's in there!<br />It's easy to mix in the batter and it doesn't change the color.<br />Even if I can't get him to eat things like sweet potatoes...he's getting them anyway! Cleaver mommy...heehee
198	__label1__	3	N	Health & Personal Care	B005GSYXHW	Glad Tall Kitchen Drawstring Trash Bags, 13 Gallon, 45 Count	affordable product	I was looking for trash bags that I could buy online to help save time (and possibly money) because the kind I normally get is only available in the . For the similar quantity these bags were cheaper and I was able to buy online.
199	__label1__	4	N	Health & Personal Care	B001DNV56Q	NOW Foods Tribulus 1000mg, 45% Extract, 180 Tablets	45% Saponins versus 90%	The reason so many reviewers have been disappointed with this product is not because of the quality.  Any tribulus product that contains 45% Saponins, is simply not going to compare to a tribulus that contains a high concentration of Protodioscin (the main ingredient responsible for the benefits I gets when taking tribulus).  The most potent form of tribulus is extracted at a ratio of 90%, [[ASIN:B007RLZDBQ Tribulus Terrestris 90% Bulk Powder 50 Grams]].  Even than I would still recommend combining it with some longjack or DAA, if increasing testosterone levels is your main motivation for taking it in the first place.
10501	__label2__	5	Y	Office Products	B005VCNRA2	SafeT Sleeves RFID Protectors (Total of 8 Sleeves)	Fits fine inside a money belt	I purchased this product to separate my credit cards in my money belt for my upcoming trip to Europe.  They fit just fine, and offer a peace of mind from electronic theft anywhere you go. Price was well worth it.
10502	__label2__	5	N	Toys	B00ICAKJJW	Power Wheels Nickelodeon Teenage Mutant Ninja Turtles Kawasaki KFX	Great fun for little ones. But be sure you fully charge before use.	This is probably one of the most exciting gifts you can give to a young child. Most kids are fascinated with the concept of driving. So having a little vehicle they can safely maneuver is awesome. We purchased this type of vehicle for all 3 of my kids. Everyone of them was thrilled. In fact, we parked them inside the garage facing forward as though they were &#34;parked&#34;.<br />This one sits a little high, so the child has to climb up to get on it. But they won't mind.<br />I would highly recommend elbow pads and a helmet. Though we've not seen our 4 wheeler turn over on us yet, but there were a couple of times going over some big bumps on the hilly areas that it looked as though it might tip. So steer your kids away from really bumpy areas and stay on mostly level ground. This is not a TRUE 4 wheeler. It is not designed for rough terrain. It is a TOY.<br />When it first arrives at your house, it might be best not to let the little ones know it's there. It has to be partly assembled and charge overnight (you have to plug it in) before it can be used. If you charge it less than the recommended time, the battery will never hold a charge for long.<br />Being that it runs on an oversize battery, it's only good for about 20 minutes of constant riding before it starts to lose some power.
10503	__label2__	5	N	Toys	B0007OTPS2	Ty Beanie Babies Rescue - FDNY Dalmatian Dog	Rescuing Rescue	I lost my stuffed Rescue toy, and was clearly upset when I did. Then, I had the brilliant idea to look on Amazon. This is the cutest little toy ever and if you get it for any child or dog lover I can guarantee they will love it!
10504	__label2__	5	Y	Home Improvement	B008X099V0	Mr. Beams MB982 Wireless Battery Operated Indoor/Outdoor Motion Sensing LED Ceiling Light, White, 2-Pack	Battery operated, indoor or outdoor lights.	I LOVE these lights! Well, maybe that's too strong a statement but I do like them a whole lot.  Simple to install: just insert the batteries (not included), attach the backplate with two screws and attach the light. Sort of like a smoke detector. Motion detector works great, and good lighting.<br /><br />Good customer service if you need to ask a question.
10505	__label2__	5	Y	Tools	B0010O748Q	SE FS374 All-Weather Emergency 2-IN-1 Fire Starter & Magnesium Fuel Bar (Everything you need to start a fire!)	Strike up the band!  Great quality and quick shipping	I ordered four more of these to go in my survival kits. These are quality made and worth the tiny price!  Rick Edwards
10506	__label2__	5	Y	Luggage	B005FKVSS8	Rockland Luggage 17 Inch Rolling Backpack, Pink Dot, Medium	LOVE THIS !	I'm in nursing school and quickly realized if I didn't get a rolling bag I'd have a bad back before I graduated. I got this because I LOVE pink. I've gotten a ton of compliments on it and I use it everyday it's still in great shape. I love this bag and will easily use it after school for traveling.
